Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jumlah,Keaktifan,Keterangan,Modus penggunaan kawasan,Pelanggaran,Perlu tindak lanjut,Satuan,Tindakan,Tipe temuan,Usia temuan
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,10,31-Oct-22,9:17:23 AM,109.9087483,-1.008371667,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,200,Tidak Aktif,,,Ya,Ya,m2,Diobservasi,Lahan terbuka,Cukup baru (1 - 2 minggu)
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,7,31-Oct-22,9:10:12 AM,109.9085467,-1.010608333,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,50,,,,Ya,Ya,batang,Diobservasi,Kebun sawit,Diatas 1 tahun
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,9,31-Oct-22,9:14:11 AM,109.9086417,-1.00964,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,150,,,,Ya,Ya,m2,Diobservasi,Sawah,Cukup baru (1 - 2 minggu)
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,18,31-Oct-22,9:34:52 AM,109.9113083,-1.00353,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,120,,,,Ya,Ya,m2,Diobservasi,Kebun karet,Diatas 1 tahun
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,8,31-Oct-22,9:13:48 AM,109.9085867,-1.009876667,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,50,,,,Ya,Ya,m2,Diobservasi,Kebun sawit,Diatas 1 tahun
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,12,31-Oct-22,9:26:28 AM,109.9092333,-1.004065,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,50,,,,Ya,Ya,batang,Diobservasi,Kebun sawit,Sangat lama (>3bulan)
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,14,31-Oct-22,9:28:42 AM,109.9097517,-1.003898333,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,100,,,,Ya,Ya,m2,Diobservasi,Sawah,Baru (dalam 1 minggu)
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,20,31-Oct-22,9:37:21 AM,109.91136,-1.003465,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,50,,,,Ya,Ya,batang,Diobservasi,Kebun pisang,Sangat lama (>3bulan)
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,23,31-Oct-22,9:47:23 AM,109.9120667,-1.003355,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Tidak Aktif,,,Ya,Ya,hektar,Diobservasi,Lahan terbuka,Lama (2 - 4 minggu)
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,19,31-Oct-22,9:35:12 AM,109.91139,-1.003481667,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,150,,,,Ya,Ya,m2,Diobservasi,Kebun sawit,Diatas 1 tahun
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,15,31-Oct-22,9:30:16 AM,109.9104883,-1.003686667,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,20,,,,Ya,Ya,batang,Diobservasi,Kebun pisang,Sangat lama (>3bulan)
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,22,31-Oct-22,9:46:08 AM,109.91179,-1.00338,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,25,,,,Ya,Ya,m2,Diobservasi,Sawah,Baru (dalam 1 minggu)
PB_Okt_000005,Ground,31-Oct-22,31-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,16,31-Oct-22,9:31:30 AM,109.9108383,-1.003585,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,100,,,,Ya,Ya,batang,Diobservasi,Kebun sawit,Sangat lama (>3bulan)
PB_April_000002,Ground,17-Apr-22,17-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,9,17-Apr-22,8:16:00 AM,109.9052183,-1.012708333,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,,,,Ya,Ya,unit,Diobservasi,Bangunan/pemukiman non-permanen,Diatas 1 tahun
PM_Okt_000004,Ground,23-Oct-22,23-Oct-22,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,9,23-Oct-22,1:48:06 PM,109.8875417,-1.071955,12/12/2022 15:45,smart smart,Aktivitas Manusia,Penggunaan Kawasan,25,,,,Ya,Ya,batang,Diobservasi,Kebun sawit,Diatas 1 tahun
